"69","K.01","Selat Sape",NULL,"10","0","Selat Sape","1","0000-00-00 00:00:00","0","2015-12-05 06:30:18","1"
"70","K.02","Perairan utara Flores",NULL,"10","0","Perairan utara Flores","1","0000-00-00 00:00:00","0","2015-12-05 06:30:19","1"
"71","K.03","Selat Flores",NULL,"10","0","Selat Flores","1","0000-00-00 00:00:00","0","2015-12-05 06:30:21","1"
"72","K.04","Selat Lamakera - Selat Boling",NULL,"10","0","Selat Lamakera - Selat Boling","1","0000-00-00 00:00:00","0","2015-12-05 06:30:31","1"
"73","K.05","Selat Alor",NULL,"10","0","Selat Alor","1","0000-00-00 00:00:00","0","2015-12-05 06:30:35","1"
"74","K.06","Selat Sumba",,"10","0","Selat Sumba","1","0000-00-00 00:00:00","0","2015-12-05 06:30:36","1"
"75","K.07","Laut Sawu",,"10","0","Laut Sawu","1","0000-00-00 00:00:00","0","2015-12-05 06:30:37","1"
"76","K.08","Selat Ombai",,"10","0","Selat Ombai","1","0000-00-00 00:00:00","0","2015-12-05 06:30:39","1"
"77","K.09","Selat Wetar",,"10","0","Selat Wetar","1","0000-00-00 00:00:00","0","2015-12-05 06:30:42","1"
"78","K.10","Perairan selatan P. Sumba",,"10","0","Perairan selatan P. Sumba","1","0000-00-00 00:00:00","0","2015-10-05 14:03:04","1"
"79","K.11","Samudera Hindia selatan NTT",NULL,"10","0","S. Hindia selatan NTT","1","0000-00-00 00:00:00","0","2016-10-21 11:13:56","15"
"80","K.12","Perairan selatan Kupang - Pulau Rote",,"10","0","Perairan selatan Kupang - Pulau Rote","1","0000-00-00 00:00:00","0","2015-10-05 14:41:27","1"
"81","K.13","Laut Timor selatan NTT",,"10","0","Laut Timor selatan NTT","1","0000-00-00 00:00:00","0","2015-10-05 14:03:26","1"
"82","K.14","Laut Timor selatan Timor Leste",NULL,"10","0","Laut Timor selatan Timor Leste","0","0000-00-00 00:00:00","0","2015-12-03 07:54:57","15"
"83","O.01","Samudera Pasifik utara Kep. Halmahera",NULL,"17","0","S. Pasifik utara Kep. Halmahera","1","0000-00-00 00:00:00","0","2016-10-21 11:14:23","15"
"84","O.02","Laut Halmahera",,"17","0","Laut Halmahera","1","0000-00-00 00:00:00","0","2015-12-05 06:30:50","1"
"85","O.03","Perairan utara Kep. Halmahera",NULL,"17","0","Perairan utara Kep. Halmahera","1","0000-00-00 00:00:00","0","2015-12-05 06:30:51","1"
"86","O.04","Perairan timur Kep. Halmahera",NULL,"17","0","Perairan timur Kep. Halmahera","1","0000-00-00 00:00:00","0","2015-12-05 06:30:52","1"
"87","O.05","Perairan barat Kep. Halmahera",NULL,"17","0","Perairan barat Kep. Halmahera","1","0000-00-00 00:00:00","0","2015-12-05 06:30:53","1"
"88","N.09","Perairan Kepulauan Talaud",NULL,"11","0","Perairan Kep. Talaud","1","0000-00-00 00:00:00","0","2016-10-21 11:13:42","15"
"89","N.08","Perairan Kepulauan Sangihe",NULL,"11","0","Perairan Kep. Sangihe","1","0000-00-00 00:00:00","0","2016-10-21 11:13:37","15"
"90","N.10","Perairan Bitung - Manado",,"11","0","Perairan Bitung - Manado","1","0000-00-00 00:00:00","0","2015-10-05 14:26:32","1"
"91","N.13","Perairan selatan Sulawesi Utara",,"11","0","Perairan selatan Sulawesi Utara","1","0000-00-00 00:00:00","0","2015-10-05 14:26:41","1"
"92","N.11","Laut Maluku bagian utara",NULL,"11","0","Laut Maluku bag. utara","1","0000-00-00 00:00:00","0","2016-10-21 11:13:33","15"
"93","N.12","Laut Maluku bagian selatan",NULL,"11","0","Laut Maluku bag. selatan","1","0000-00-00 00:00:00","0","2016-10-21 11:13:29","15"
"94","N.07","Laut Sulawesi bagian timur",NULL,"11","0","Laut Sulawesi bag. timur","1","0000-00-00 00:00:00","0","2016-10-21 11:13:24","15"
"95","N.03","Laut Sulawesi bagian tengah",NULL,"11","0","Laut Sulawesi bag. tengah","1","0000-00-00 00:00:00","0","2016-10-21 11:13:12","15"
"96","N.02","Laut Sulawesi bagian barat",NULL,"11","0","Laut Sulawesi bag. barat","1","0000-00-00 00:00:00","0","2016-10-21 11:13:08","15"
"97","N.01","Perairan Kalimantan Utara",NULL,"11","0","Perairan Kalimantan Utara","1","0000-00-00 00:00:00","0","2015-12-05 06:31:05","1"
"98","N.04","Perairan utara Sulawesi",NULL,"11","0","Perairan utara Sulawesi","1","0000-00-00 00:00:00","0","2015-12-05 06:31:06","1"
"99","N.05","Teluk Tomini selatan Gorontalo",NULL,"11","0","Teluk Tomini selatan Gorontalo","1","0000-00-00 00:00:00","0","2015-12-05 06:31:07","1"
"100","N.06","Teluk Tomini utara Poso",NULL,"11","0","Teluk Tomini utara Poso","1","0000-00-00 00:00:00","0","2015-12-05 06:31:14","1"
"101","M.02","Perairan Balikpapan",,"34","0","Perairan Balikpapan","1","0000-00-00 00:00:00","0","2015-12-05 06:31:17","1"
"102","M.01","Perairan Kotabaru",,"34","0","Perairan Kotabaru","1","0000-00-00 00:00:00","0","2015-12-05 06:31:23","1"
"103","M.04","Selat Makassar bagian utara",NULL,"34","0","Selat Makassar bag. utara","1","0000-00-00 00:00:00","0","2016-10-21 11:13:00","15"
"104","M.03","Selat Makassar bagian tengah",NULL,"34","0","Selat Makassar bag. tengah","1","0000-00-00 00:00:00","0","2016-10-21 11:12:54","15"
"105","L.01","Selat Makassar bagian selatan",NULL,"12","0","Selat Makassar bag. selatan","1","0000-00-00 00:00:00","0","2016-10-21 11:10:27","15"
"106","L.02","Perairan barat Sulawesi Selatan",,"12","0","Perairan barat Sulawesi Selatan","1","0000-00-00 00:00:00","0","2015-12-05 06:31:31","1"
"107","L.03","Perairan Kepulauan Salabana",NULL,"12","0","Perairan Kep. Salabana","1","0000-00-00 00:00:00","0","2016-10-21 11:10:27","15"
"108","L.04","Perairan Kepulauan Selayar",NULL,"12","0","Perairan Kep. Selayar","1","0000-00-00 00:00:00","0","2016-10-21 11:10:14","15"
"109","L.05","Teluk Bone bagian utara",NULL,"12","0","Teluk Bone bag. utara","1","0000-00-00 00:00:00","0","2016-10-21 11:10:11","15"
"110","L.06","Teluk Bone bagian selatan",NULL,"12","0","Teluk Bone bag. selatan","1","0000-00-00 00:00:00","0","2016-10-21 11:10:10","15"
"111","L.07","Laut Flores",,"12","0","Laut Flores","1","0000-00-00 00:00:00","0","2015-12-05 06:31:38","1"
"112","P.01","Samudera Pasifik utara Papua Barat",NULL,"44","0","S. Pasifik utara Papua Barat","1","0000-00-00 00:00:00","0","2016-10-21 11:10:03","15"
"113","P.02","Perairan Raja Ampat - Sorong",,"44","0","Perairan Raja Ampat - Sorong","1","0000-00-00 00:00:00","0","2015-12-05 06:31:42","1"
"114","P.03","Perairan Fak-fak - Kaimana",,"44","0","Perairan Fak-fak - Kaimana","1","0000-00-00 00:00:00","0","2015-12-05 06:31:43","1"
"115","Q.01","Samudera Pasifik utara Biak",NULL,"13","0","S. Pasifik utara Biak","1","0000-00-00 00:00:00","0","2016-10-21 11:09:32","15"
"116","P.04","Perairan Manokwari",,"44","0","Perairan Manokwari","1","0000-00-00 00:00:00","0","2015-12-05 06:31:46","1"
